Date : 2020-03-20 13:47:22
Directory : /Users/rasheenruwisha/final-year-proj/mobilestore
Total : 72 files,  14089 codes, 278 comments, 722 blanks, all 15089 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| /Users/rasheenruwisha/final-year-proj/mobilestore/index.js                                                         | JavaScript  |         12 |          3 |          4 |         19 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/ios/mobilestore/AppDelegate.h                                    | C++         |          5 |          6 |          5 |         16 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/ios/mobilestore/AppDelegate.m                                    | Objective-C |         28 |          6 |          9 |         43 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/ios/mobilestore/Base.lproj/LaunchScreen.xib                      | XML         |         42 |          0 |          1 |         43 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/ios/mobilestore/Images.xcassets/AppIcon.appiconset/Contents.json | JSON        |         53 |          0 |          0 |         53 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/ios/mobilestore/Images.xcassets/Contents.json                    | JSON        |          6 |          0 |          1 |          7 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/ios/mobilestore/main.m                                           | Objective-C |          7 |          6 |          4 |         17 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/ios/mobilestoreTests/mobilestoreTests.m                          | Objective-C |         51 |          6 |         16 |         73 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/layout/aboutus/AboutUs.js                                        | JavaScript  |        161 |          7 |         32 |        200 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/layout/aboutus/AboutUsStyles.js                                  | JavaScript  |         59 |          0 |          6 |         65 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/layout/cart/Cart.js                                              | JavaScript  |        185 |         10 |         28 |        223 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/layout/cart/CartStyles.js                                        | JavaScript  |         44 |          0 |          7 |         51 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/layout/categories/Categories.js                                  | JavaScript  |         73 |         10 |         13 |         96 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/layout/checkout/Checkout.js                                      | JavaScript  |        651 |         10 |        144 |        805 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/layout/checkout/CheckoutStyles.js                                | JavaScript  |        110 |          0 |          9 |        119 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/layout/checkoutStatus/CheckoutSuccess.js                         | JavaScript  |         91 |          7 |         22 |        120 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/layout/checkoutStatus/CheckoutSuccessStyles.js                   | JavaScript  |         76 |          0 |          6 |         82 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/layout/home/Home.js                                              | JavaScript  |        101 |          7 |         19 |        127 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/layout/home/HomeStyles.js                                        | JavaScript  |         56 |          0 |          4 |         60 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/layout/loader/Loader.js                                          | JavaScript  |        119 |          7 |         17 |        143 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/layout/loader/LoaderStyles.js                                    | JavaScript  |         39 |          0 |          7 |         46 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/layout/login/Login.js                                            | JavaScript  |        154 |          7 |         24 |        185 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/layout/login/LoginStyles.js                                      | JavaScript  |         43 |          0 |          5 |         48 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/layout/navigation/Navigation.js                                  | JavaScript  |        284 |          0 |         20 |        304 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/layout/orders/Orders.js                                          | JavaScript  |         99 |          7 |         16 |        122 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/layout/products/Product.js                                       | JavaScript  |        531 |          7 |         59 |        597 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/layout/products/ProductStyles.js                                 | JavaScript  |        161 |          0 |          7 |        168 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/layout/products/Products.js                                      | JavaScript  |         94 |          7 |         14 |        115 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/layout/register/Register.js                                      | JavaScript  |        170 |          7 |         34 |        211 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/layout/register/RegisterStyles.js                                | JavaScript  |         43 |          0 |          4 |         47 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/metro.config.js                                                  | JavaScript  |         10 |          6 |          2 |         18 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/package-lock.json                                                | JSON        |      9,447 |          0 |          1 |      9,448 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/package.json                                                     | JSON        |         59 |          0 |          1 |         60 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/properties.js                                                    | JavaScript  |          6 |          0 |          1 |          7 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/reducers/authReducer.js                                          | JavaScript  |         70 |          0 |          3 |         73 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/reducers/businessReducer.js                                      | JavaScript  |         22 |          0 |          4 |         26 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/reducers/cartReducer.js                                          | JavaScript  |         93 |          0 |          2 |         95 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/reducers/categoryReducer.js                                      | JavaScript  |         27 |          0 |          4 |         31 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/reducers/errorReducer.js                                         | JavaScript  |         24 |          0 |          1 |         25 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/reducers/index.js                                                | JavaScript  |         17 |          0 |          1 |         18 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/reducers/orderReducer.js                                         | JavaScript  |         22 |          0 |          4 |         26 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/reducers/productReducer.js                                       | JavaScript  |         28 |          0 |          4 |         32 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/store/index.js                                                   | JavaScript  |          9 |          0 |          4 |         13 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/themes.js                                                        | JavaScript  |         20 |          0 |          2 |         22 |
| Total                                                                                                              |             |     14,089 |        278 |        722 |     15,089 |
+--------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
